# SYNTHETIC DATA - WORKSHOP USE ONLY. Entirely fictional.
account_id,region,setting,eligible_patients_estimate,scientific_need_score,access_minutes,last_meaningful_exchange,open_request,priority_in_current_plan
ACC-001,South,Community,21,4,42,2026-02-06,no,High
ACC-002,East,Integrated network,24,2,59,2026-03-07,yes,High
ACC-003,West,Academic,27,5,76,2026-04-08,no,High
ACC-004,North,Community,30,3,93,2026-05-09,no,High
ACC-005,South,Integrated network,33,1,110,2026-06-10,no,High
ACC-006,East,Academic,36,4,127,2026-01-11,no,High
ACC-007,West,Community,39,2,144,2026-02-12,yes,High
ACC-008,North,Integrated network,42,5,161,2026-03-13,no,High
ACC-009,South,Academic,45,3,178,2026-04-14,no,Low
ACC-010,East,Community,48,1,195,2026-05-15,no,Low
ACC-011,West,Integrated network,51,4,32,2026-06-16,yes,Low
ACC-012,North,Academic,54,2,49,2026-01-17,no,Low
ACC-013,South,Community,57,5,66,2026-02-18,no,Low
ACC-014,East,Integrated network,60,3,83,2026-03-19,no,Low
ACC-015,West,Academic,63,1,100,2026-04-20,no,Low
